Fecha,Primero,Último,Mínimo,Máximo,Promedio simple,Promedio ponderado,Promedio ponderado sesión anterior
3 Feb 2022,647.60,645.90,645.00,647.60,645.65,645.64,646.30
4 Feb 2022,645.00,646.00,644.61,647.00,645.41,645.44,645.64
5 Feb 2022,,,,,,,
6 Feb 2022,,,,,,,
7 Feb 2022,645.00,645.40,641.00,646.74,645.38,645.44,645.44
8 Feb 2022,644.50,645.50,644.50,646.00,645.39,645.47,645.44
9 Feb 2022,645.50,645.55,645.00,645.75,645.38,645.47,645.47
10 Feb 2022,645.50,644.30,643.75,645.50,644.43,644.35,645.47
11 Feb 2022,643.00,642.47,640.00,643.09,642.43,642.47,644.35
12 Feb 2022,,,,,,,
13 Feb 2022,,,,,,,
14 Feb 2022,639.25,640.75,639.02,642.00,640.68,640.75,642.47
15 Feb 2022,639.07,641.90,639.05,641.95,641.23,641.57,640.75
16 Feb 2022,641.00,641.55,640.05,641.80,640.92,641.23,641.57
17 Feb 2022,645.00,641.00,639.50,645.00,641.05,641.02,641.23
18 Feb 2022,639.25,641.70,639.20,642.00,641.38,641.52,641.02
19 Feb 2022,,,,,,,
20 Feb 2022,,,,,,,
21 Feb 2022,642.00,642.48,641.99,643.50,642.53,642.50,641.52
22 Feb 2022,642.50,643.24,642.50,644.00,643.25,643.25,642.50
23 Feb 2022,643.24,644.00,643.00,644.15,643.98,643.99,643.25
24 Feb 2022,644.00,645.30,644.00,645.35,644.80,644.97,643.99
25 Feb 2022,645.00,645.25,644.50,646.10,645.13,645.09,644.97
26 Feb 2022,,,,,,,
27 Feb 2022,,,,,,,
28 Feb 2022,644.99,645.15,643.00,645.50,644.77,644.95,645.09
29 Feb 2022,,,,,,,
1 Mar 2022,644.00,645.55,644.00,646.00,644.91,645.18,644.95
2 Mar 2022,644.25,646.70,644.25,649.00,646.45,646.43,645.18
3 Mar 2022,647.50,648.50,646.50,648.70,648.07,648.28,646.43
4 Mar 2022,649.95,650.95,649.50,653.00,650.48,650.66,648.28
5 Mar 2022,,,,,,,
6 Mar 2022,,,,,,,
7 Mar 2022,652.50,652.50,651.20,652.75,652.45,652.49,650.66
8 Mar 2022,653.75,654.75,653.66,655.00,654.47,654.56,652.49
9 Mar 2022,654.00,653.55,652.35,654.74,653.47,653.50,654.56
10 Mar 2022,652.50,651.76,651.65,654.00,652.13,651.97,653.50
11 Mar 2022,650.50,647.70,647.00,651.50,648.17,647.67,651.97
12 Mar 2022,,,,,,,
13 Mar 2022,,,,,,,
14 Mar 2022,646.25,644.20,642.05,646.25,643.30,643.09,647.67
15 Mar 2022,640.10,643.50,640.10,645.50,641.75,642.27,643.09
16 Mar 2022,641.00,646.00,641.00,646.00,644.38,644.94,642.27
17 Mar 2022,644.95,648.65,644.95,648.65,647.95,648.20,644.94
18 Mar 2022,649.90,651.00,647.90,652.00,650.59,650.70,648.20
19 Mar 2022,,,,,,,
20 Mar 2022,,,,,,,
21 Mar 2022,652.00,653.30,650.00,653.50,652.95,653.18,650.70
22 Mar 2022,654.50,655.85,654.50,657.00,655.74,655.81,653.18
23 Mar 2022,656.50,658.00,655.00,658.00,657.38,657.54,655.81
24 Mar 2022,660.97,659.20,657.25,660.97,658.89,659.00,657.54
25 Mar 2022,656.00,660.99,656.00,660.99,660.39,660.77,659.00
26 Mar 2022,,,,,,,
27 Mar 2022,,,,,,,
28 Mar 2022,659.00,661.90,659.00,662.00,661.57,661.83,660.77
29 Mar 2022,658.01,664.55,658.01,665.96,663.73,664.21,661.83
30 Mar 2022,658.00,665.97,656.00,666.00,664.63,665.67,664.21
31 Mar 2022,667.00,667.15,663.00,668.00,666.97,667.04,665.67
1 Abr 2022,666.95,662.25,657.50,668.00,664.24,663.02,667.04
2 Abr 2022,,,,,,,
3 Abr 2022,,,,,,,
4 Abr 2022,661.21,660.70,658.25,661.90,659.98,660.31,663.02
5 Abr 2022,662.50,661.75,658.15,662.50,660.22,660.61,660.31
6 Abr 2022,655.00,660.60,655.00,662.00,660.80,660.63,660.61
7 Abr 2022,661.00,659.05,658.95,661.99,659.51,659.29,660.63
8 Abr 2022,659.00,655.75,651.05,659.00,655.51,655.20,659.29
9 Abr 2022,,,,,,,
10 Abr 2022,,,,,,,
11 Abr 2022,0.00,0.00,0.00,0.00,0.00,0.00,655.20
12 Abr 2022,656.00,655.70,652.55,656.00,654.00,654.42,655.20
13 Abr 2022,650.51,655.55,650.50,655.75,654.38,654.98,654.42
14 Abr 2022,0.00,0.00,0.00,0.00,0.00,0.00,654.98
15 Abr 2022,0.00,0.00,0.00,0.00,0.00,0.00,654.98
16 Abr 2022,,,,,,,
17 Abr 2022,,,,,,,
18 Abr 2022,655.99,655.75,654.78,656.00,655.55,655.66,654.98
19 Abr 2022,654.02,657.55,654.01,657.75,657.01,657.27,655.66
20 Abr 2022,657.15,661.45,657.15,662.00,660.11,660.83,657.27
21 Abr 2022,659.10,660.00,659.00,664.99,663.25,663.56,660.83
22 Abr 2022,658.20,664.68,658.20,665.44,664.10,664.48,663.56
23 Abr 2022,,,,,,,
24 Abr 2022,,,,,,,
25 Abr 2022,665.00,665.24,664.50,666.00,665.20,665.21,664.48
26 Abr 2022,660.20,666.24,660.20,666.95,665.73,666.00,665.21
27 Abr 2022,664.11,667.60,664.11,667.85,667.10,667.14,666.00
28 Abr 2022,668.50,668.55,667.00,669.15,668.38,668.52,667.14
29 Abr 2022,668.55,668.99,665.00,670.99,668.81,668.95,668.52
30 Abr 2022,,,,,,,
1 May 2022,,,,,,,
2 May 2022,667.25,668.00,667.25,669.90,668.36,668.03,668.95
3 May 2022,669.00,667.50,667.39,669.00,667.60,667.54,668.03
4 May 2022,670.00,668.15,666.00,670.00,667.74,667.82,667.54
5 May 2022,661.01,670.00,661.01,671.00,669.88,670.00,667.82
6 May 2022,671.00,670.90,670.55,672.99,671.47,671.40,670.00
7 May 2022,,,,,,,
8 May 2022,,,,,,,
9 May 2022,671.70,671.40,670.00,673.00,671.51,671.36,671.40
10 May 2022,671.50,673.45,671.25,673.45,672.83,673.01,671.36
11 May 2022,672.00,675.49,671.60,675.50,674.71,674.82,673.01
12 May 2022,679.00,674.48,672.00,679.00,675.35,674.46,674.82
13 May 2022,674.99,673.80,672.90,674.99,673.77,673.42,674.46
14 May 2022,,,,,,,
15 May 2022,,,,,,,
16 May 2022,670.18,673.25,670.18,673.25,672.72,672.98,673.42
17 May 2022,672.51,674.35,672.51,677.00,673.75,673.86,672.98
18 May 2022,674.02,675.25,674.00,676.00,675.11,675.36,673.86
19 May 2022,674.36,677.15,674.35,677.65,677.07,677.23,675.36
20 May 2022,679.00,678.45,675.01,680.00,678.70,678.37,677.23
21 May 2022,,,,,,,
22 May 2022,,,,,,,
23 May 2022,679.90,678.95,677.00,680.25,679.35,679.25,678.37
24 May 2022,680.49,679.75,679.00,681.10,679.87,679.70,679.25
25 May 2022,681.25,681.55,679.00,682.00,680.41,680.61,679.70
26 May 2022,674.00,682.50,673.00,682.51,681.45,681.74,680.61
27 May 2022,681.10,684.70,681.10,685.25,683.58,684.38,681.74
28 May 2022,,,,,,,
29 May 2022,,,,,,,
30 May 2022,684.00,688.25,684.00,692.00,688.45,688.43,684.38
31 May 2022,684.50,691.90,681.00,692.00,688.42,688.51,688.43
1 Jun 2022,685.10,693.30,685.01,693.99,690.50,692.24,688.51
2 Jun 2022,689.00,692.51,689.00,695.50,692.25,692.33,692.24
3 Jun 2022,688.00,687.99,686.01,688.00,687.90,687.99,692.33
4 Jun 2022,,,,,,,
5 Jun 2022,,,,,,,
6 Jun 2022,685.02,685.90,685.01,686.00,685.89,685.96,687.99
7 Jun 2022,687.95,687.75,685.00,688.00,687.17,687.11,685.96
8 Jun 2022,688.00,692.10,687.10,694.00,690.23,690.36,687.11
9 Jun 2022,687.40,687.50,687.10,687.50,687.42,687.47,690.36
10 Jun 2022,687.00,685.86,683.00,687.00,685.83,685.93,687.47
11 Jun 2022,,,,,,,
12 Jun 2022,,,,,,,
13 Jun 2022,686.00,686.25,685.00,686.30,686.06,686.26,685.93
14 Jun 2022,682.01,686.90,681.00,686.90,686.43,686.87,686.26
15 Jun 2022,685.01,689.75,685.01,689.76,688.24,688.76,686.87
16 Jun 2022,690.00,692.15,689.05,692.15,691.15,691.48,688.76
17 Jun 2022,694.00,694.50,688.26,695.00,693.97,694.43,691.48
18 Jun 2022,,,,,,,
19 Jun 2022,,,,,,,
20 Jun 2022,694.00,695.75,692.12,697.00,695.53,696.17,694.43
21 Jun 2022,696.00,696.75,696.00,697.70,696.92,696.76,696.17
22 Jun 2022,697.00,696.49,695.00,697.00,696.42,696.44,696.76
23 Jun 2022,689.00,695.60,689.00,697.00,695.51,695.53,696.44
24 Jun 2022,689.00,693.00,688.10,695.00,693.06,692.96,695.53
25 Jun 2022,,,,,,,
26 Jun 2022,,,,,,,
27 Jun 2022,687.01,691.90,687.01,692.95,691.82,691.90,692.96
28 Jun 2022,691.25,691.00,690.80,692.00,691.04,690.93,691.90
29 Jun 2022,690.00,690.55,689.20,691.00,690.12,690.16,690.93
30 Jun 2022,694.00,692.00,690.00,694.00,691.75,691.92,690.16
1 Jul 2022,692.00,692.70,691.50,693.00,692.50,692.64,691.92
2 Jul 2022,,,,,,,
3 Jul 2022,,,,,,,
4 Jul 2022,690.25,692.95,690.25,694.00,693.23,693.01,692.64
5 Jul 2022,693.00,693.45,692.00,693.99,693.33,693.34,693.01
6 Jul 2022,693.00,693.45,693.00,695.01,693.71,693.47,693.34
7 Jul 2022,686.50,691.70,686.01,693.49,691.72,691.66,693.47
8 Jul 2022,692.95,690.90,690.05,692.95,691.05,690.96,691.66
9 Jul 2022,,,,,,,
10 Jul 2022,,,,,,,
11 Jul 2022,689.50,687.60,685.00,691.95,688.49,687.98,690.96
12 Jul 2022,686.00,688.05,686.00,688.05,687.26,687.65,687.98
13 Jul 2022,686.00,683.92,681.01,687.50,684.46,683.98,687.65
14 Jul 2022,680.50,682.62,680.50,686.00,682.58,682.60,683.98
15 Jul 2022,685.99,681.30,681.00,685.99,681.42,681.29,682.60
16 Jul 2022,,,,,,,
17 Jul 2022,,,,,,,
18 Jul 2022,681.50,677.30,675.01,681.50,678.31,677.52,681.29
19 Jul 2022,677.00,676.00,675.00,677.00,675.68,675.66,677.52
20 Jul 2022,671.00,675.10,670.50,675.50,674.94,675.11,675.66
21 Jul 2022,675.00,674.85,674.20,675.75,675.03,674.91,675.11
22 Jul 2022,675.10,675.02,674.00,675.50,674.80,674.84,674.91
23 Jul 2022,,,,,,,
24 Jul 2022,,,,,,,
25 Jul 2022,0.00,0.00,0.00,0.00,0.00,0.00,674.84
26 Jul 2022,675.00,673.60,670.00,676.00,674.07,673.78,674.84
27 Jul 2022,675.00,673.15,672.01,675.00,673.05,673.08,673.78
28 Jul 2022,674.00,672.05,671.93,674.00,672.14,672.02,673.08
29 Jul 2022,672.00,672.50,671.06,673.00,672.06,672.28,672.02
30 Jul 2022,,,,,,,
31 Jul 2022,,,,,,,
1 Ago 2022,673.00,672.00,671.96,673.00,672.11,672.01,672.28
2 Ago 2022,0.00,0.00,0.00,0.00,0.00,0.00,672.01
3 Ago 2022,675.00,672.08,671.95,675.00,672.06,672.04,672.01
4 Ago 2022,672.50,672.80,671.00,672.85,672.26,672.34,672.04
5 Ago 2022,673.00,673.65,672.00,673.70,673.24,673.48,672.34
6 Ago 2022,,,,,,,
7 Ago 2022,,,,,,,
8 Ago 2022,673.15,674.20,673.10,675.90,674.05,674.07,673.48
9 Ago 2022,672.00,674.85,672.00,675.00,674.64,674.73,674.07
10 Ago 2022,675.00,674.80,674.50,675.00,674.79,674.77,674.73
11 Ago 2022,672.50,672.00,671.50,674.70,672.87,672.43,674.77
12 Ago 2022,672.50,668.00,667.00,672.50,667.84,667.54,672.43
13 Ago 2022,,,,,,,
14 Ago 2022,,,,,,,
15 Ago 2022,0.00,0.00,0.00,0.00,0.00,0.00,667.54
16 Ago 2022,664.50,664.39,664.00,666.00,664.62,664.44,667.54
17 Ago 2022,658.00,660.22,655.00,664.10,660.09,660.20,664.44
18 Ago 2022,656.51,655.60,655.49,658.00,656.15,655.93,660.20
19 Ago 2022,656.00,650.85,650.01,656.00,650.91,650.85,655.93
20 Ago 2022,,,,,,,
21 Ago 2022,,,,,,,
22 Ago 2022,645.15,645.05,644.90,647.40,645.09,644.99,650.85
23 Ago 2022,644.01,640.30,640.00,644.10,640.57,640.48,644.99
24 Ago 2022,639.50,636.40,635.50,639.50,636.22,635.96,640.48
25 Ago 2022,636.00,638.10,633.10,638.75,636.17,637.41,635.96
26 Ago 2022,637.00,644.53,637.00,645.00,643.57,644.03,637.41
27 Ago 2022,,,,,,,
28 Ago 2022,,,,,,,
29 Ago 2022,645.05,647.30,644.05,648.00,646.80,647.24,644.03
30 Ago 2022,645.00,654.55,645.00,655.00,652.61,653.36,647.24
31 Ago 2022,655.00,658.95,655.00,659.00,658.05,658.40,653.36
1 Set 2022,656.00,661.25,656.00,664.50,661.83,662.38,658.40
2 Set 2022,668.00,661.85,660.00,668.00,662.11,661.89,662.38
3 Set 2022,,,,,,,
4 Set 2022,,,,,,,
5 Set 2022,665.00,661.80,660.15,665.00,661.90,661.86,661.89
6 Set 2022,661.50,660.66,658.51,662.00,660.85,660.82,661.86
7 Set 2022,656.10,654.95,654.95,660.00,656.49,655.77,660.82
8 Set 2022,655.00,649.75,648.10,655.00,649.97,649.78,655.77
9 Set 2022,649.00,642.72,642.00,649.00,642.88,642.79,649.78
10 Set 2022,,,,,,,
11 Set 2022,,,,,,,
12 Set 2022,636.00,638.25,635.00,638.99,637.11,637.67,642.79
13 Set 2022,633.02,635.35,633.02,635.99,635.14,635.23,637.67
14 Set 2022,638.50,635.30,632.75,638.50,635.10,635.09,635.23
15 Set 2022,634.01,632.90,632.00,634.99,633.25,633.07,635.09
16 Set 2022,630.00,636.51,630.00,637.00,634.41,635.39,633.07
17 Set 2022,,,,,,,
18 Set 2022,,,,,,,
19 Set 2022,0.00,0.00,0.00,0.00,0.00,0.00,635.39
20 Set 2022,635.10,635.00,634.00,636.00,634.92,635.00,635.39
21 Set 2022,635.00,636.00,634.30,636.15,635.81,635.96,635.00
22 Set 2022,638.00,637.90,636.55,638.10,637.74,637.84,635.96
23 Set 2022,639.00,639.99,638.20,641.00,639.36,639.62,637.84
24 Set 2022,,,,,,,
25 Set 2022,,,,,,,
26 Set 2022,639.00,640.45,637.00,642.25,640.94,640.68,639.62
27 Set 2022,640.00,637.70,637.01,642.00,639.21,638.79,640.68
28 Set 2022,638.00,631.50,630.00,638.00,631.31,631.27,638.79
29 Set 2022,631.00,630.20,627.00,631.00,628.92,629.37,631.27
30 Set 2022,630.00,629.20,626.20,630.00,628.74,629.11,629.37
1 Oct 2022,,,,,,,
2 Oct 2022,,,,,,,
3 Oct 2022,630.00,632.00,629.75,633.01,631.74,632.21,629.11
4 Oct 2022,631.00,636.00,631.00,636.55,635.78,635.93,632.21
5 Oct 2022,636.00,639.65,636.00,639.95,639.23,639.57,635.93
6 Oct 2022,639.70,638.95,638.70,642.00,639.47,639.17,639.57
7 Oct 2022,638.50,636.00,636.00,638.50,636.74,636.44,639.17
8 Oct 2022,,,,,,,
9 Oct 2022,,,,,,,
10 Oct 2022,635.80,631.45,631.00,635.80,631.90,631.61,636.44
11 Oct 2022,631.00,630.00,629.50,631.90,630.11,630.02,631.61
12 Oct 2022,631.00,624.50,624.15,631.00,624.74,624.57,630.02
13 Oct 2022,622.75,620.05,619.75,622.75,620.12,619.97,624.57
14 Oct 2022,617.00,617.70,616.40,619.90,617.75,617.91,619.97
15 Oct 2022,,,,,,,
16 Oct 2022,,,,,,,
17 Oct 2022,619.00,620.50,617.21,621.00,619.52,619.97,617.91
18 Oct 2022,624.00,621.60,619.10,624.00,621.24,621.38,619.97
19 Oct 2022,625.90,624.80,623.50,626.00,624.89,624.89,621.38
20 Oct 2022,626.75,626.79,625.00,627.00,626.64,626.68,624.89
21 Oct 2022,625.10,628.00,625.10,628.65,627.95,628.13,626.68
22 Oct 2022,,,,,,,
23 Oct 2022,,,,,,,
24 Oct 2022,627.00,627.00,627.00,630.25,628.12,627.61,628.13
25 Oct 2022,625.01,625.65,625.01,628.00,626.14,626.09,627.61
26 Oct 2022,623.50,624.60,623.50,626.40,624.85,624.67,626.09
27 Oct 2022,624.00,621.20,621.01,624.00,621.80,621.53,624.67
28 Oct 2022,620.00,619.00,618.00,622.00,618.91,618.50,621.53
29 Oct 2022,,,,,,,
30 Oct 2022,,,,,,,
31 Oct 2022,619.50,619.95,619.00,620.25,619.48,619.36,618.50
1 Nov 2022,620.00,622.15,620.00,622.50,621.03,620.99,619.36
2 Nov 2022,621.20,625.10,621.20,625.15,624.10,624.70,620.99
3 Nov 2022,626.99,627.10,623.01,628.69,627.69,627.72,624.70
4 Nov 2022,627.00,625.00,623.35,627.00,624.41,624.34,627.72
5 Nov 2022,,,,,,,
6 Nov 2022,,,,,,,
7 Nov 2022,623.00,620.90,620.51,624.50,621.11,621.02,624.34
8 Nov 2022,620.00,618.09,617.80,620.00,618.04,617.97,621.02
9 Nov 2022,616.00,614.00,613.51,617.00,614.22,613.98,617.97
10 Nov 2022,612.00,614.00,610.00,616.50,612.77,613.38,613.98
11 Nov 2022,614.00,615.21,612.00,615.35,614.61,614.80,613.38
12 Nov 2022,,,,,,,
13 Nov 2022,,,,,,,
14 Nov 2022,616.00,614.50,612.00,617.00,615.38,615.25,614.80
15 Nov 2022,614.00,614.44,612.50,615.00,614.28,614.41,615.25
16 Nov 2022,612.50,613.00,612.50,615.99,613.88,613.87,614.41
17 Nov 2022,615.00,611.65,611.45,615.00,612.00,611.90,613.87
18 Nov 2022,610.00,611.00,609.50,611.99,610.74,610.92,611.90
19 Nov 2022,,,,,,,
20 Nov 2022,,,,,,,
21 Nov 2022,610.00,611.10,608.01,611.10,610.57,610.75,610.92
22 Nov 2022,608.00,611.05,608.00,611.50,610.99,611.07,610.75
23 Nov 2022,610.01,610.00,609.50,611.70,610.43,610.12,611.07
24 Nov 2022,611.50,607.50,606.00,611.50,608.08,607.73,610.12
25 Nov 2022,606.84,603.00,601.99,606.84,603.01,602.88,607.73
26 Nov 2022,,,,,,,
27 Nov 2022,,,,,,,
28 Nov 2022,600.00,601.94,596.50,602.00,600.83,601.16,602.88
29 Nov 2022,600.00,602.00,600.00,602.00,601.17,601.27,601.16
30 Nov 2022,601.00,604.23,600.58,604.29,603.58,604.00,601.27
1 Dic 2022,606.00,608.00,602.00,608.15,606.87,607.72,604.00
2 Dic 2022,601.00,605.20,601.00,610.50,607.69,606.60,607.72
3 Dic 2022,,,,,,,
4 Dic 2022,,,,,,,
5 Dic 2022,0.00,0.00,0.00,0.00,0.00,0.00,606.60
6 Dic 2022,602.00,601.00,600.50,605.00,601.82,601.31,606.60
7 Dic 2022,600.50,596.00,595.65,602.50,597.80,596.81,601.31
8 Dic 2022,595.00,593.30,591.00,595.75,593.24,593.13,596.81
9 Dic 2022,592.45,593.75,589.00,593.75,591.03,591.10,593.13
10 Dic 2022,,,,,,,
11 Dic 2022,,,,,,,
12 Dic 2022,591.50,597.00,591.50,597.85,596.03,596.52,591.10
13 Dic 2022,601.00,600.00,600.00,603.05,602.35,602.54,596.52
14 Dic 2022,605.00,595.45,593.50,605.00,597.56,596.17,602.54
15 Dic 2022,598.00,589.99,589.05,598.00,590.34,589.98,596.17
16 Dic 2022,591.00,590.01,590.00,593.50,591.47,590.92,589.98
17 Dic 2022,,,,,,,
18 Dic 2022,,,,,,,
19 Dic 2022,592.10,589.95,589.52,594.00,590.68,589.99,590.92
20 Dic 2022,592.50,588.40,588.01,592.50,589.24,588.96,589.99
21 Dic 2022,588.00,586.64,586.40,588.00,586.90,586.64,588.96
22 Dic 2022,585.50,584.30,584.00,589.00,585.56,585.07,586.64
23 Dic 2022,585.00,584.99,584.70,585.25,585.01,584.99,585.07
24 Dic 2022,,,,,,,
25 Dic 2022,,,,,,,
26 Dic 2022,585.00,584.94,584.41,586.00,584.95,584.87,584.99
27 Dic 2022,584.35,591.00,583.03,591.25,587.51,587.20,584.87
28 Dic 2022,593.00,597.72,591.20,598.00,596.76,597.30,587.20
29 Dic 2022,600.00,593.84,593.51,603.30,598.80,597.34,597.30
30 Dic 2022,0.00,0.00,0.00,0.00,0.00,0.00,597.34
31 Dic 2022,,,,,,,
1 Ene 2023,,,,,,,
2 Ene 2023,598.00,596.00,590.00,598.40,596.23,596.10,597.34
3 Ene 2023,592.50,596.37,592.00,597.55,596.64,596.54,596.10
4 Ene 2023,596.01,596.65,596.01,597.25,596.77,596.73,596.54
5 Ene 2023,595.00,593.55,593.10,596.00,594.19,593.93,596.73
6 Ene 2023,594.00,592.50,592.00,594.99,593.32,593.05,593.93
7 Ene 2023,,,,,,,
8 Ene 2023,,,,,,,
9 Ene 2023,592.50,587.98,587.51,593.00,589.58,588.79,593.05
10 Ene 2023,585.00,585.00,583.20,586.00,584.09,583.96,588.79
11 Ene 2023,583.50,583.00,582.50,584.00,583.03,582.98,583.96
12 Ene 2023,581.50,579.95,579.50,582.00,580.19,579.91,582.98
13 Ene 2023,576.00,574.01,570.00,578.00,573.89,573.98,579.91
14 Ene 2023,,,,,,,
15 Ene 2023,,,,,,,
16 Ene 2023,571.50,572.00,571.00,573.00,572.00,571.96,573.98
17 Ene 2023,569.01,570.00,568.52,570.51,570.05,570.02,571.96
18 Ene 2023,567.06,569.50,567.05,570.00,568.95,568.94,570.02
19 Ene 2023,568.00,567.70,567.50,569.75,567.77,567.69,568.94
20 Ene 2023,567.95,566.50,563.75,568.00,566.42,566.51,567.69
21 Ene 2023,,,,,,,
22 Ene 2023,,,,,,,
23 Ene 2023,565.00,565.90,565.00,566.50,566.13,566.11,566.51
24 Ene 2023,565.00,565.00,558.01,566.00,565.31,565.35,566.11
25 Ene 2023,565.99,563.20,561.00,565.99,563.99,563.45,565.35
26 Ene 2023,563.50,559.15,559.00,563.50,560.30,559.41,563.45
27 Ene 2023,559.00,556.50,553.50,560.00,554.94,555.12,559.41
28 Ene 2023,,,,,,,
29 Ene 2023,,,,,,,
30 Ene 2023,550.24,556.50,550.10,556.60,555.83,556.15,555.12
31 Ene 2023,552.00,558.41,552.00,558.41,557.23,557.37,556.15
1 Feb 2023,560.00,565.50,556.80,565.50,562.65,563.46,557.37
2 Feb 2023,565.00,569.10,564.10,571.00,569.56,569.65,563.46
3 Feb 2023,571.50,576.75,571.25,576.75,574.91,575.89,569.65
4 Feb 2023,,,,,,,
5 Feb 2023,,,,,,,
6 Feb 2023,577.00,581.65,577.00,582.45,581.08,581.62,575.89
7 Feb 2023,584.00,585.25,584.00,588.00,586.05,585.84,581.62
8 Feb 2023,587.00,583.90,583.20,587.00,583.97,583.93,585.84
9 Feb 2023,580.00,580.20,579.00,580.20,579.95,579.97,583.93
10 Feb 2023,576.24,576.98,572.00,579.00,576.94,576.95,579.97
11 Feb 2023,,,,,,,
12 Feb 2023,,,,,,,
13 Feb 2023,572.00,573.60,570.10,574.00,573.61,573.69,576.95
14 Feb 2023,570.00,568.70,567.01,570.50,568.81,568.83,573.69
15 Feb 2023,562.00,564.89,560.00,568.49,564.64,564.64,568.83
16 Feb 2023,560.00,562.79,560.00,563.75,562.55,562.64,564.64
17 Feb 2023,558.00,561.50,558.00,562.00,561.45,561.46,562.64
18 Feb 2023,,,,,,,
19 Feb 2023,,,,,,,
20 Feb 2023,560.00,560.95,560.00,561.25,560.92,560.95,561.46
21 Feb 2023,559.00,564.55,554.10,565.00,564.13,564.40,560.95
22 Feb 2023,566.00,564.50,564.10,566.00,564.60,564.54,564.40
23 Feb 2023,565.00,564.20,564.00,565.00,564.24,564.22,564.54
24 Feb 2023,558.00,563.46,558.00,564.00,563.33,563.40,564.22
25 Feb 2023,,,,,,,
26 Feb 2023,,,,,,,
27 Feb 2023,562.00,561.50,561.45,562.99,561.77,561.69,563.40
28 Feb 2023,561.50,560.50,560.00,561.50,560.53,560.51,561.69
29 Feb 2023,,,,,,,
1 Mar 2023,560.16,560.75,560.16,561.50,560.79,560.77,560.51
2 Mar 2023,561.00,558.25,557.00,561.00,558.96,558.32,560.77
3 Mar 2023,560.00,557.25,556.00,560.00,557.28,557.28,558.32
4 Mar 2023,,,,,,,
5 Mar 2023,,,,,,,
6 Mar 2023,555.25,554.60,553.00,555.75,554.86,554.81,557.28
7 Mar 2023,555.00,554.25,550.00,556.95,553.89,553.90,554.81
8 Mar 2023,552.90,551.90,550.01,552.90,551.96,551.94,553.90
9 Mar 2023,551.00,550.65,550.00,551.00,550.26,550.29,551.94
